,brand,nod,location,model,varient,fuel,year,transmission,km,price
1924,Maruti,1st Owner,Jaipur,Baleno,Alpha,Petrol,2020,Manual,"14,975 Kms","7,50,000"
1943,Maruti,1st Owner,Jaipur,Swift,VDI BSIV,Diesel,2011,Manual,"38,437 Kms","3,80,350"
1945,Hyundai,1st Owner,Jaipur,Grand i10 Nios,Sportz,Petrol,2021,Manual,"1,234 Kms","6,40,000"
1946,Mahindra,2nd Owner,Kota,XUV300,W8 Option Diesel BSIV,Diesel,2019,Manual,"41,395 Kms","10,25,778"
1947,Maruti,1st Owner,Alwar,Alto 800,LXI,Petrol,2015,Manual,"50,485 Kms","3,03,512"
1948,Maruti,1st Owner,Kota,Baleno,1.2 Delta,Petrol,2016,Manual,"46,024 Kms","5,67,500"
1949,Maruti,1st Owner,Alwar,Alto 800,LXI,Petrol,2017,Manual,"11,708 Kms","3,43,530"
1950,Maruti,1st Owner,Jaipur,Celerio,ZXI Optional,Petrol,2016,Manual,"14,762 Kms","4,28,022"
1951,Maruti,1st Owner,Jaipur,S-Presso,STD,Petrol,2019,Manual,"1,577 Kms","3,51,000"
1952,Toyota,1st Owner,Jaipur,Etios Liva,GD SP,Diesel,2013,Manual,"103,561 Kms","3,91,000"
1953,Maruti,1st Owner,Jaipur,Vitara Brezza,ZDi Plus,Diesel,2019,Manual,"36,521 Kms","9,77,500"
1954,Hyundai,1st Owner,Jaipur,i20,1.2 Spotz,Petrol,2018,Manual,"17,723 Kms","6,39,588"
1955,Maruti,1st Owner,Jaipur,Ignis,1.2 Delta BSIV,Petrol,2018,Manual,"14,302 Kms","5,07,500"
1956,Maruti,1st Owner,Jaipur,Swift Dzire,VDI,Diesel,2015,Manual,"77,482 Kms","5,59,560"
1957,Skoda,1st Owner,Jaipur,Rapid,1.5 TDI Style BSIV,Diesel,2017,Manual,"71,258 Kms","7,37,805"
1958,Hyundai,1st Owner,Kota,Venue,SX Turbo,Petrol,2020,Manual,"8,364 Kms","10,39,400"
1959,Maruti,1st Owner,Jaipur,Alto K10,VXI,Petrol,2015,Manual,"13,428 Kms","3,53,600"
1960,Hyundai,1st Owner,Jaipur,Grand i10,1.2 Kappa Sportz BSIV,Petrol,2019,Manual,"8,098 Kms","6,12,010"
1961,Hyundai,2nd Owner,Jaipur,Grand i10,CRDi Sportz,Diesel,2016,Manual,"75,923 Kms","4,21,000"
1962,Renault,1st Owner,Jaipur,KWID,1.0,Petrol,2017,Manual,"23,635 Kms","3,31,000"
1963,Renault,1st Owner,Jaipur,KWID,RXT,Petrol,2017,Manual,"34,901 Kms","2,96,000"
1964,Maruti,1st Owner,Jaipur,Baleno,Alpha,Petrol,2020,Manual,"14,975 Kms","7,50,000"
1983,Maruti,1st Owner,Jaipur,Swift,VDI BSIV,Diesel,2011,Manual,"38,437 Kms","3,80,350"
2003,Maruti,1st Owner,Jaipur,Swift Dzire,VXI 1.2 BS IV,Petrol,2018,Manual,"18,830 Kms","6,87,500"
2005,Hyundai,1st Owner,Jaipur,Grand i10 Nios,Sportz,Petrol,2021,Manual,"1,234 Kms","6,40,000"
2006,Mahindra,2nd Owner,Kota,XUV300,W8 Option Diesel BSIV,Diesel,2019,Manual,"41,395 Kms","10,25,778"
2007,Maruti,1st Owner,Alwar,Alto 800,LXI,Petrol,2015,Manual,"50,485 Kms","3,03,512"
2008,Maruti,1st Owner,Kota,Baleno,1.2 Delta,Petrol,2016,Manual,"46,024 Kms","5,67,500"
2009,Maruti,1st Owner,Alwar,Alto 800,LXI,Petrol,2017,Manual,"11,708 Kms","3,43,530"
2010,Maruti,1st Owner,Jaipur,Celerio,ZXI Optional,Petrol,2016,Manual,"14,762 Kms","4,28,022"
2011,Maruti,1st Owner,Jaipur,S-Presso,STD,Petrol,2019,Manual,"1,577 Kms","3,51,000"
2012,Toyota,1st Owner,Jaipur,Etios Liva,GD SP,Diesel,2013,Manual,"103,561 Kms","3,91,000"
2013,Maruti,1st Owner,Jaipur,Vitara Brezza,ZDi Plus,Diesel,2019,Manual,"36,521 Kms","9,77,500"
2014,Hyundai,1st Owner,Jaipur,i20,1.2 Spotz,Petrol,2018,Manual,"17,723 Kms","6,39,588"
2015,Maruti,1st Owner,Jaipur,Ignis,1.2 Delta BSIV,Petrol,2018,Manual,"14,302 Kms","5,07,500"
2016,Maruti,1st Owner,Jaipur,Swift Dzire,VDI,Diesel,2015,Manual,"77,482 Kms","5,59,560"
2017,Skoda,1st Owner,Jaipur,Rapid,1.5 TDI Style BSIV,Diesel,2017,Manual,"71,258 Kms","7,37,805"
2018,Hyundai,1st Owner,Kota,Venue,SX Turbo,Petrol,2020,Manual,"8,364 Kms","10,39,400"
2019,Maruti,1st Owner,Jaipur,Alto K10,VXI,Petrol,2015,Manual,"13,428 Kms","3,53,600"
2020,Hyundai,1st Owner,Jaipur,Grand i10,1.2 Kappa Sportz BSIV,Petrol,2019,Manual,"8,098 Kms","6,12,010"
2021,Hyundai,2nd Owner,Jaipur,Grand i10,CRDi Sportz,Diesel,2016,Manual,"75,923 Kms","4,21,000"
2022,Renault,1st Owner,Jaipur,KWID,1.0,Petrol,2017,Manual,"23,635 Kms","3,31,000"
2023,Renault,1st Owner,Jaipur,KWID,RXT,Petrol,2017,Manual,"34,901 Kms","2,96,000"
2024,Maruti,1st Owner,Jaipur,Baleno,Alpha,Petrol,2020,Manual,"14,975 Kms","7,50,000"
2043,Maruti,1st Owner,Jaipur,Swift,VDI BSIV,Diesel,2011,Manual,"38,437 Kms","3,80,350"
2063,Maruti,1st Owner,Jaipur,Swift Dzire,VXI 1.2 BS IV,Petrol,2018,Manual,"18,830 Kms","6,87,500"
2085,Hyundai,1st Owner,Jaipur,Grand i10 Nios,Sportz,Petrol,2021,Manual,"1,234 Kms","6,40,000"
2086,Mahindra,2nd Owner,Kota,XUV300,W8 Option Diesel BSIV,Diesel,2019,Manual,"41,395 Kms","10,25,778"
